"Station Name","AMHERSTBURG"
"Province","ONTARIO"
"Latitude","42.10"
"Longitude","-83.09"
"Elevation","182.00"
"Climate Identifier","6130257"
"WMO Identifier",""
"TC Identifier",""

"Legend"
"A","Accumulated"
"C","Precipitation occurred, amount uncertain"
"E","Estimated"
"F","Accumulated and estimated"
"L","Precipitation may or may not have occurred"
"M","Missing"
"N","Temperature missing but known to be > 0"
"S","More than one occurrence"
"T","Trace"
"Y","Temperature missing but known to be < 0"
"[empty]","No data available"
"^","The value displayed is based on incomplete data"
"†","Data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"2016-01-17","2016","01","17","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-18","2016","01","18","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-19","2016","01","19","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-20","2016","01","20","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-21","2016","01","21","†","-3.0","","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","0","","","","",""
"2016-01-22","2016","01","22","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-23","2016","01","23","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-24","2016","01","24","†","3.0","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2016-01-25","2016","01","25","†","5.5","","-9.0","","-1.8","","19.8","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-01-26","2016","01","26","†","6.0","","","M","","M","","M","","M","0.0","","0.0","T","0.0","T","0","","","","",""
"2016-01-27","2016","01","27","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-28","2016","01","28","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-29","2016","01","29","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-30","2016","01","30","","","","","","","","","","","","","","","","","","","","","","",""
"2016-01-31","2016","01","31","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-01","2016","02","01","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-02","2016","02","02","†","9.5","","-5.5","","2.0","","16.0","","0.0","","10.2","","0.0","","10.2","","0","","","","",""
"2016-02-03","2016","02","03","†","13.0","","1.5","","7.3","","10.7","","0.0","","0.0","","0.0","T","0.0","T","0","","","","",""
"2016-02-04","2016","02","04","†","1.5","","-1.0","","0.3","","17.7","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2016-02-05","2016","02","05","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-06","2016","02","06","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-07","2016","02","07","†","8.5","","","M","","M","","M","","M","0.4","","0.0","","0.4","","0","","","","",""
"2016-02-08","2016","02","08","†","5.0","","-1.0","","2.0","","16.0","","0.0","","0.0","","7.0","","7.0","","0","","","","",""
"2016-02-09","2016","02","09","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-10","2016","02","10","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-11","2016","02","11","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-12","2016","02","12","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-13","2016","02","13","†","-8.5","","-16.0","","-12.3","","30.3","","0.0","","0.0","","0.0","T","0.0","T","3","","","","",""
"2016-02-14","2016","02","14","†","-5.0","","-18.0","","-11.5","","29.5","","0.0","","0.0","","1.0","","1.0","","3","","","","",""
"2016-02-15","2016","02","15","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-16","2016","02","16","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-17","2016","02","17","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-18","2016","02","18","†","6.5","","-12.0","","-2.8","","20.8","","0.0","","0.0","","0.0","","0.0","","4","","","","",""
"2016-02-19","2016","02","19","†","17.5","","-3.5","","7.0","","11.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-02-20","2016","02","20","†","17.5","","5.0","","11.3","","6.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-02-21","2016","02","21","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-22","2016","02","22","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-23","2016","02","23","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-24","2016","02","24","†","1.0","","-1.0","","0.0","","18.0","","0.0","","25.4","","6.0","","31.4","","0","","","","",""
"2016-02-25","2016","02","25","†","1.0","","-3.5","","-1.3","","19.3","","0.0","","0.0","","0.0","","0.0","","6","","","","",""
"2016-02-26","2016","02","26","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-27","2016","02","27","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-28","2016","02","28","","","","","","","","","","","","","","","","","","","","","","",""
"2016-02-29","2016","02","29","†","10.5","","-1.0","","4.8","","13.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-01","2016","03","01","†","10.5","","-5.0","","2.8","","15.2","","0.0","","3.0","","5.0","","8.0","","1","","","","",""
"2016-03-02","2016","03","02","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-03","2016","03","03","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-04","2016","03","04","†","2.0","","-4.0","","-1.0","","19.0","","0.0","","0.0","","2.0","","2.0","","7","","","","",""
"2016-03-05","2016","03","05","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-06","2016","03","06","†","7.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-07","2016","03","07","†","18.0","","-2.0","","8.0","","10.0","","0.0","","0.0","","0.0","","0.0","","0","T","","","",""
"2016-03-08","2016","03","08","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-09","2016","03","09","†","20.0","","9.0","","14.5","","3.5","","0.0","","3.2","","0.0","","3.2","","0","","","","",""
"2016-03-10","2016","03","10","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-11","2016","03","11","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-12","2016","03","12","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-13","2016","03","13","†","11.0","","5.0","","8.0","","10.0","","0.0","","23.8","","0.0","","23.8","","0","","","","",""
"2016-03-14","2016","03","14","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-15","2016","03","15","†","15.0","","7.0","","11.0","","7.0","","0.0","","1.2","","0.0","","1.2","","0","","","","",""
"2016-03-16","2016","03","16","†","16.0","","5.5","","10.8","","7.2","","0.0","","0.8","","0.0","","0.8","","0","","","","",""
"2016-03-17","2016","03","17","†","13.5","","5.5","","9.5","","8.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-18","2016","03","18","†","11.0","","-2.5","","4.3","","13.7","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2016-03-19","2016","03","19","†","","M","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-20","2016","03","20","†","6.5","","","M","","M","","M","","M","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-21","2016","03","21","†","8.5","","-3.0","","2.8","","15.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-22","2016","03","22","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-23","2016","03","23","†","13.0","","0.0","","6.5","","11.5","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"2016-03-24","2016","03","24","†","12.5","","2.5","","7.5","","10.5","","0.0","","32.6","","0.0","","32.6","","0","","","","",""
"2016-03-25","2016","03","25","","","","","","","","","","","","","","","","","","","","","","",""
"2016-03-26","2016","03","26","†","8.5","","-3.5","","2.5","","15.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-27","2016","03","27","†","20.5","","-2.0","","9.3","","8.7","","0.0","","28.0","","0.0","","28.0","","0","","","","",""
"2016-03-28","2016","03","28","†","9.0","","6.0","","7.5","","10.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-29","2016","03","29","†","10.5","","0.5","","5.5","","12.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-03-30","2016","03","30","†","16.0","","0.0","","8.0","","10.0","","0.0","","7.6","","0.0","","7.6","","0","","","","",""
"2016-03-31","2016","03","31","†","15.5","","10.0","","12.8","","5.2","","0.0","","9.6","","0.0","","9.6","","0","","","","",""
"2016-04-01","2016","04","01","†","12.0","","6.5","","9.3","","8.7","","0.0","","1.4","","0.0","","1.4","","0","","","","",""
"2016-04-02","2016","04","02","†","6.0","","1.0","","3.5","","14.5","","0.0","","0.0","","3.8","","3.8","","0","","","","",""
"2016-04-03","2016","04","03","†","8.0","","-5.0","","1.5","","16.5","","0.0","","1.2","","0.0","","1.2","","0","T","","","",""
"2016-04-04","2016","04","04","†","1.5","","-2.0","","-0.3","","18.3","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-05","2016","04","05","†","4.5","","-8.5","","-2.0","","20.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-06","2016","04","06","†","11.5","","-2.0","","4.8","","13.2","","0.0","","9.4","","0.0","","9.4","","0","","","","",""
"2016-04-07","2016","04","07","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-08","2016","04","08","†","7.0","","-2.0","","2.5","","15.5","","0.0","","0.0","","2.2","","2.2","","0","","","","",""
"2016-04-09","2016","04","09","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-10","2016","04","10","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-11","2016","04","11","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-12","2016","04","12","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-13","2016","04","13","†","11.0","","-2.0","","4.5","","13.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-14","2016","04","14","†","14.0","","-2.0","","6.0","","12.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-15","2016","04","15","†","21.0","","1.0","","11.0","","7.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-16","2016","04","16","†","24.0","","4.5","","14.3","","3.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-17","2016","04","17","†","23.5","","4.0","","13.8","","4.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-18","2016","04","18","†","25.0","","5.0","","15.0","","3.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-19","2016","04","19","†","15.0","","7.0","","11.0","","7.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-20","2016","04","20","†","20.0","","4.0","","12.0","","6.0","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-21","2016","04","21","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-22","2016","04","22","†","17.0","","8.0","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-23","2016","04","23","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-24","2016","04","24","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-25","2016","04","25","†","22.5","","5.5","","14.0","","4.0","","0.0","","12.4","","0.0","","12.4","","0","","","","",""
"2016-04-26","2016","04","26","†","12.5","","8.5","","10.5","","7.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-04-27","2016","04","27","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-28","2016","04","28","†","9.5","","4.0","","6.8","","11.2","","0.0","","3.4","","0.0","","3.4","","0","","","","",""
"2016-04-29","2016","04","29","","","","","","","","","","","","","","","","","","","","","","",""
"2016-04-30","2016","04","30","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-01","2016","05","01","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-02","2016","05","02","†","13.0","","7.0","","10.0","","8.0","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2016-05-03","2016","05","03","†","18.0","","3.5","","10.8","","7.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-04","2016","05","04","†","15.5","","9.5","","12.5","","5.5","","0.0","","10.2","","0.0","","10.2","","0","","","","",""
"2016-05-05","2016","05","05","†","19.0","","6.0","","12.5","","5.5","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-06","2016","05","06","†","22.5","","5.0","","13.8","","4.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-07","2016","05","07","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-08","2016","05","08","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-09","2016","05","09","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-10","2016","05","10","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-11","2016","05","11","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-12","2016","05","12","†","25.5","","11.0","","18.3","","0.0","","0.3","","10.6","","0.0","","10.6","","0","","","","",""
"2016-05-13","2016","05","13","†","21.0","","12.0","","16.5","","1.5","","0.0","","6.4","","0.0","","6.4","","0","","","","",""
"2016-05-14","2016","05","14","†","11.5","","8.0","","9.8","","8.2","","0.0","","0.0","T","0.0","","0.0","T","0","","","","",""
"2016-05-15","2016","05","15","†","11.0","","2.5","","6.8","","11.2","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-16","2016","05","16","†","21.0","","4.0","","12.5","","5.5","","0.0","","0.6","","0.0","","0.6","","0","","","","",""
"2016-05-17","2016","05","17","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-18","2016","05","18","†","18.5","","6.0","","12.3","","5.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-19","2016","05","19","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-20","2016","05","20","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-21","2016","05","21","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-22","2016","05","22","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-23","2016","05","23","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-24","2016","05","24","†","29.0","","9.5","","19.3","","0.0","","1.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-25","2016","05","25","†","30.0","","14.5","","22.3","","0.0","","4.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-26","2016","05","26","†","30.0","","18.0","","24.0","","0.0","","6.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-27","2016","05","27","†","30.0","","18.0","","24.0","","0.0","","6.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-28","2016","05","28","†","31.0","","17.5","","24.3","","0.0","","6.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-05-29","2016","05","29","†","31.0","","19.0","","25.0","","0.0","","7.0","","2.2","","0.0","","2.2","","0","","","","",""
"2016-05-30","2016","05","30","","","","","","","","","","","","","","","","","","","","","","",""
"2016-05-31","2016","05","31","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-01","2016","06","01","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-02","2016","06","02","†","30.0","","16.0","","23.0","","0.0","","5.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-03","2016","06","03","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-04","2016","06","04","†","26.5","","14.0","","20.3","","0.0","","2.3","","8.0","","0.0","","8.0","","0","","","","",""
"2016-06-05","2016","06","05","†","25.0","","17.0","","21.0","","0.0","","3.0","","4.6","","0.0","","4.6","","0","","","","",""
"2016-06-06","2016","06","06","†","29.0","","15.0","","22.0","","0.0","","4.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-07","2016","06","07","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-08","2016","06","08","†","21.5","","9.0","","15.3","","2.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-09","2016","06","09","†","25.0","","9.5","","17.3","","0.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-10","2016","06","10","†","29.0","","13.5","","21.3","","0.0","","3.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-11","2016","06","11","†","35.0","","19.0","","27.0","","0.0","","9.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-12","2016","06","12","†","26.5","","16.0","","21.3","","0.0","","3.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-13","2016","06","13","†","24.0","","8.5","","16.3","","1.7","","0.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-14","2016","06","14","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-15","2016","06","15","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-16","2016","06","16","†","27.5","","17.0","","22.3","","0.0","","4.3","","4.4","","0.0","","4.4","","0","","","","",""
"2016-06-17","2016","06","17","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-18","2016","06","18","†","30.5","","13.0","","21.8","","0.0","","3.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-19","2016","06","19","†","33.0","","16.5","","24.8","","0.0","","6.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-20","2016","06","20","†","34.5","","20.5","","27.5","","0.0","","9.5","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-21","2016","06","21","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-22","2016","06","22","†","30.5","","17.0","","23.8","","0.0","","5.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-23","2016","06","23","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-24","2016","06","24","†","29.0","","13.0","","21.0","","0.0","","3.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-25","2016","06","25","†","30.5","","13.0","","21.8","","0.0","","3.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-26","2016","06","26","†","34.0","","18.5","","26.3","","0.0","","8.3","","3.2","","0.0","","3.2","","0","","","","",""
"2016-06-27","2016","06","27","†","34.5","","20.0","","27.3","","0.0","","9.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-06-28","2016","06","28","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-29","2016","06","29","","","","","","","","","","","","","","","","","","","","","","",""
"2016-06-30","2016","06","30","†","30.0","","13.0","","21.5","","0.0","","3.5","","2.0","","0.0","","2.0","","0","","","","",""
"2016-07-01","2016","07","01","","","","","","","","","","","","","","","","","","","","","","",""
"2016-07-02","2016","07","02","†","26.0","","11.0","","18.5","","0.0","","0.5","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-03","2016","07","03","†","28.0","","12.5","","20.3","","0.0","","2.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-04","2016","07","04","","","","","","","","","","","","","","","","","","","","","","",""
"2016-07-05","2016","07","05","†","33.0","","20.5","","26.8","","0.0","","8.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-06","2016","07","06","†","33.0","","19.0","","26.0","","0.0","","8.0","","3.6","","0.0","","3.6","","0","","","","",""
"2016-07-07","2016","07","07","†","34.5","","20.0","","27.3","","0.0","","9.3","","33.4","","0.0","","33.4","","0","","","","",""
"2016-07-08","2016","07","08","†","32.0","","18.5","","25.3","","0.0","","7.3","","7.0","","0.0","","7.0","","0","","","","",""
"2016-07-09","2016","07","09","†","26.0","","18.5","","22.3","","0.0","","4.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-10","2016","07","10","","","","","","","","","","","","","","","","","","","","","","",""
"2016-07-11","2016","07","11","","","","","","","","","","","","","","","","","","","","","","",""
"2016-07-12","2016","07","12","†","33.0","","22.0","","27.5","","0.0","","9.5","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-13","2016","07","13","†","33.0","","22.0","","27.5","","0.0","","9.5","","27.4","","0.0","","27.4","","0","","","","",""
"2016-07-14","2016","07","14","†","31.0","","21.0","","26.0","","0.0","","8.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-15","2016","07","15","†","28.5","","19.5","","24.0","","0.0","","6.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-16","2016","07","16","","","","","","","","","","","","","","","","","","","","","","",""
"2016-07-17","2016","07","17","†","30.0","","16.0","","23.0","","0.0","","5.0","","1.2","","0.0","","1.2","","0","","","","",""
"2016-07-18","2016","07","18","†","31.5","","22.0","","26.8","","0.0","","8.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-19","2016","07","19","†","30.5","","14.5","","22.5","","0.0","","4.5","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-20","2016","07","20","","","","","","","","","","","","","","","","","","","","","","",""
"2016-07-21","2016","07","21","†","33.5","","20.5","","27.0","","0.0","","9.0","","4.0","","0.0","","4.0","","0","","","","",""
"2016-07-22","2016","07","22","†","35.0","","22.0","","28.5","","0.0","","10.5","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-23","2016","07","23","†","34.0","","23.0","","28.5","","0.0","","10.5","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-24","2016","07","24","†","30.0","","22.0","","26.0","","0.0","","8.0","","10.8","","0.0","","10.8","","0","","","","",""
"2016-07-25","2016","07","25","†","33.0","","23.0","","28.0","","0.0","","10.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-26","2016","07","26","†","30.0","","17.5","","23.8","","0.0","","5.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-27","2016","07","27","","","","","","","","","","","","","","","","","","","","","","",""
"2016-07-28","2016","07","28","†","30.0","","20.0","","25.0","","0.0","","7.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-07-29","2016","07","29","","","","","","","","","","","","","","","","","","","","","","",""
"2016-07-30","2016","07","30","†","26.5","","19.5","","23.0","","0.0","","5.0","","14.6","","0.0","","14.6","","0","","","","",""
"2016-07-31","2016","07","31","†","31.0","","19.0","","25.0","","0.0","","7.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-01","2016","08","01","","","","","","","","","","","","","","","","","","","","","","",""
"2016-08-02","2016","08","02","","","","","","","","","","","","","","","","","","","","","","",""
"2016-08-03","2016","08","03","","","","","","","","","","","","","","","","","","","","","","",""
"2016-08-04","2016","08","04","†","33.5","","18.0","","25.8","","0.0","","7.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-05","2016","08","05","","","","","","","","","","","","","","","","","","","","","","",""
"2016-08-06","2016","08","06","†","31.0","","19.5","","25.3","","0.0","","7.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-07","2016","08","07","†","30.0","","18.0","","24.0","","0.0","","6.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-08","2016","08","08","†","30.0","","14.0","","22.0","","0.0","","4.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-09","2016","08","09","†","33.0","","17.0","","25.0","","0.0","","7.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-10","2016","08","10","†","34.5","","21.0","","27.8","","0.0","","9.8","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-11","2016","08","11","","","","","","","","","","","","","","","","","","","","","","",""
"2016-08-12","2016","08","12","†","35.0","","25.5","","30.3","","0.0","","12.3","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-13","2016","08","13","†","31.0","","23.5","","27.3","","0.0","","9.3","","10.0","","0.0","","10.0","","0","","","","",""
"2016-08-14","2016","08","14","†","29.5","","20.5","","25.0","","0.0","","7.0","","2.4","","0.0","","2.4","","0","","","","",""
"2016-08-15","2016","08","15","†","27.0","","19.0","","23.0","","0.0","","5.0","","26.6","","0.0","","26.6","","0","","","","",""
"2016-08-16","2016","08","16","†","28.0","","21.5","","24.8","","0.0","","6.8","","2.0","","0.0","","2.0","","0","","","","",""
"2016-08-17","2016","08","17","†","28.5","","18.0","","23.3","","0.0","","5.3","","3.6","","0.0","","3.6","","0","","","","",""
"2016-08-18","2016","08","18","†","29.5","","18.5","","24.0","","0.0","","6.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-19","2016","08","19","†","32.5","","19.5","","26.0","","0.0","","8.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-20","2016","08","20","†","30.5","","20.0","","25.3","","0.0","","7.3","","14.4","","0.0","","14.4","","0","","","","",""
"2016-08-21","2016","08","21","†","26.5","","17.5","","22.0","","0.0","","4.0","","0.0","","0.0","","0.0","","0","","","","",""
"2016-08-22","2016","08","22","†","26.0","","14.5","","20.3","","0.0","","2.3","","0.0","","0.0","","0.0","","0","","","","",""
